"AGNO";"MRUN";"NOM_COM_ALU";"COD_GRADO";"LET_CUR";"COD_JOR";"GEN_ALU";"FEC_NAC_ALU";"EDAD_ALU";"PROM_GRAL";"ASISTENCIA"
2022;18098559;"LA CISTERNA";4;"A";3;1;200503;17;69;86
2022;18802775;"SANTIAGO";4;"A";3;2;200407;17;65;83
2022;20741584;"ESTACIÓN CENTRAL";4;"A";3;2;200501;17;63;85
2022;21049248;"PUDAHUEL";4;"A";3;2;200410;17;68;91
2022;21913301;"ESTACIÓN CENTRAL";4;"A";3;2;200405;18;69;92
2022;22777008;"SAN MIGUEL";4;"A";3;2;200503;17;68;95
2022;24107064;"ESTACIÓN CENTRAL";4;"A";3;2;200412;17;68;95
2022;297690;"SANTIAGO";4;"B";3;1;200405;18;6;89
2022;425268;"MAIPÚ";4;"B";3;2;200501;17;66;90
2022;944651;"SAN MIGUEL";4;"B";3;2;200406;18;66;86
2022;2513778;"HUECHURABA";4;"B";3;2;200503;17;6;90
2022;3775425;"SANTIAGO";4;"B";3;2;200411;17;68;97
2022;4449342;"SANTIAGO";4;"B";3;2;200412;17;53;92
2022;4477319;"SANTIAGO";4;"B";3;1;200409;17;61;91
2022;6011126;"SANTIAGO";4;"B";3;2;200407;17;7;93
2022;6869034;"MAIPÚ";4;"B";3;2;200407;17;69;96
2022;6917411;"LO PRADO";4;"B";3;1;200504;17;65;97
2022;8628364;"SANTIAGO";4;"B";3;1;200502;17;67;97
2022;8672415;"LA SERENA";4;"B";3;1;200409;17;55;80
2022;9650220;"MAIPÚ";4;"B";3;1;200407;17;58;93
2022;11437457;"SANTIAGO";4;"B";3;2;200412;17;65;95
2022;12277318;"INDEPENDENCIA";4;"B";3;2;200407;17;67;82
2022;12482185;"LAMPA";4;"B";3;1;200410;17;69;96
2022;13346750;"SAN MIGUEL";4;"B";3;2;200408;17;63;73
2022;13445479;"PUDAHUEL";4;"B";3;2;200408;17;69;86
2022;14452749;"SAN JOAQUÍN";4;"B";3;2;200409;17;68;94
2022;15765447;"SANTIAGO";4;"B";3;1;200503;17;64;93
2022;16479422;"SANTIAGO";4;"B";3;2;200504;17;66;90
2022;16898574;"QUINTA NORMAL";4;"B";3;1;200501;17;67;99
2022;17092776;"INDEPENDENCIA";4;"B";3;2;200504;17;69;94
2022;17177664;"VITACURA";4;"B";3;2;200408;17;63;91
2022;17206729;"LO PRADO";4;"B";3;2;200410;17;69;94
2022;17805735;"QUILICURA";4;"B";3;1;200503;17;55;85
2022;18268387;"SANTIAGO";4;"B";3;2;200501;17;69;96
2022;19890432;"COLINA";4;"B";3;2;200506;17;62;94
2022;20091117;"QUILICURA";4;"B";3;2;200411;17;65;98
2022;20179882;"SANTIAGO";4;"B";3;1;200412;17;54;97
2022;20843080;"SAN MIGUEL";4;"B";3;2;200501;17;66;97
2022;21323734;"SANTIAGO";4;"B";3;2;200412;17;7;93
2022;24467187;"CONCHALÍ";4;"B";3;1;200407;17;61;94
2022;24950824;"ESTACIÓN CENTRAL";4;"B";3;1;200407;17;6;93
2022;904357;"SANTIAGO";4;"C";3;2;200409;17;66;94
2022;944305;"ESTACIÓN CENTRAL";4;"C";3;2;200501;17;48;78
2022;2549787;"ESTACIÓN CENTRAL";4;"C";3;2;200407;17;67;94
2022;3216032;"ESTACIÓN CENTRAL";4;"C";3;2;200505;17;61;88
2022;4864899;"INDEPENDENCIA";4;"C";3;2;200412;17;68;83
2022;5549745;"SANTIAGO";4;"C";3;2;200411;17;67;93
2022;6076059;"SANTIAGO";4;"C";3;1;200503;17;68;97
2022;6365266;"ESTACIÓN CENTRAL";4;"C";3;1;200411;17;68;86
2022;7111692;"SANTIAGO";4;"C";3;1;200409;17;63;89
2022;7116361;"SANTIAGO";4;"C";3;1;200501;17;58;57
2022;7223887;"SAN MIGUEL";4;"C";3;2;200501;17;59;88
2022;7690365;"LAMPA";4;"C";3;2;200408;17;62;93
2022;8112646;"SANTIAGO";4;"C";3;1;200406;18;66;98
2022;8767352;"LAMPA";4;"C";3;1;200412;17;6;91
2022;9033245;"QUINTA NORMAL";4;"C";3;2;200410;17;67;94
2022;9961798;"QUILICURA";4;"C";3;1;200408;17;66;92
2022;11574596;"SANTIAGO";4;"C";3;2;200501;17;68;89
2022;13592313;"SANTIAGO";4;"C";3;2;200409;17;65;94
2022;14422347;"QUINTA NORMAL";4;"C";3;2;200501;17;66;98
2022;15568255;"SANTIAGO";4;"C";3;1;200401;18;65;97
2022;18430335;"MAIPÚ";4;"C";3;1;200411;17;65;89
2022;18670690;"MAIPÚ";4;"C";3;2;200405;18;65;88
2022;19628625;"QUINTA NORMAL";4;"C";3;2;200412;17;68;95
2022;20017171;"LA FLORIDA";4;"C";3;1;200501;17;59;90
2022;20328437;"QUINTA NORMAL";4;"C";3;2;200501;17;67;97
2022;20452730;"MACUL";4;"C";3;2;200403;18;64;86
2022;22849781;"SANTIAGO";4;"C";3;2;200408;17;64;91
2022;23356230;"SANTIAGO";4;"C";3;2;200412;17;64;87
2022;23707581;"SANTIAGO";4;"C";3;1;200406;18;57;87
2022;23837312;"SANTIAGO";4;"C";3;1;200406;18;64;87
2022;24100839;"SANTIAGO";4;"C";3;2;200407;17;66;79
2022;24435834;"MAIPÚ";4;"C";3;2;200502;17;64;74
2022;3043629;"ESTACIÓN CENTRAL";4;"A";3;2;200504;17;65;83
2022;4007425;"RENCA";4;"A";3;2;200504;17;58;92
2022;4074682;"MACUL";4;"A";3;2;200411;17;58;74
2022;4087244;"SANTIAGO";4;"A";3;2;200404;18;68;97
2022;8014628;"SAN JOAQUÍN";4;"A";3;2;200411;17;58;91
2022;10350817;"SANTIAGO";4;"A";3;2;200503;17;65;93
2022;10538147;"ÑUÑOA";4;"A";3;2;200412;17;51;53
2022;10995211;"MAIPÚ";4;"A";3;2;200408;17;66;92
2022;11354660;"ESTACIÓN CENTRAL";4;"A";3;1;200404;18;66;99
2022;11410094;"SANTIAGO";4;"A";3;2;200503;17;67;96
2022;11908630;"ÑUÑOA";4;"A";3;1;200503;17;53;89
2022;15823324;"ANTOFAGASTA";4;"A";3;2;200405;18;65;92
2022;25459217;"SANTIAGO";4;"A";3;1;200404;18;57;95
2022;25479985;"SANTIAGO";4;"A";3;2;200404;18;66;88
2022;25497052;"ÑUÑOA";4;"A";3;2;200309;18;61;90
